could not get driver version for /dev/input/mouse0, Not a typewriter
add device 1: /dev/input/event0
  name:     "qwerty2"
could not get driver version for /dev/input/mice, Not a typewriter
[    4335.667422] /dev/input/event0: 0003 0001 0000018c
[    4335.667437] /dev/input/event0: 0000 0000 00000000
[    4335.684227] /dev/input/event0: 0003 0001 0000018e
[    4335.684258] /dev/input/event0: 0000 0000 00000000
[    4335.700185] /dev/input/event0: 0003 0001 00000190
[    4335.700212] /dev/input/event0: 0000 0000 00000000
[    4335.716204] /dev/input/event0: 0003 0001 00000191
[    4335.716239] /dev/input/event0: 0000 0000 00000000
[    4335.732124] /dev/input/event0: 0003 0001 00000193
[    4335.732155] /dev/input/event0: 0000 0000 00000000
[    4335.940127] /dev/input/event0: 0001 014a 00000000
[    4335.940173] /dev/input/event0: 0000 0000 00000000
[    4339.463726] /dev/input/event0: 0003 0000 0000010b
[    4339.463748] /dev/input/event0: 0003 0001 0000008c
[    4339.463771] /dev/input/event0: 0001 014a 00000001
[    4339.463809] /dev/input/event0: 0000 0000 00000000
[    4339.565277] /dev/input/event0: 0003 0000 0000010d
[    4339.565318] /dev/input/event0: 0000 0000 00000000
[    4339.565353] /dev/input/event0: 0003 0000 0000010f
[    4339.565371] /dev/input/event0: 0000 0000 00000000
[    4339.582329] /dev/input/event0: 0003 0000 00000113
[    4339.582378] /dev/input/event0: 0000 0000 00000000
[    4339.582411] /dev/input/event0: 0003 0000 00000116
[    4339.582432] /dev/input/event0: 0000 0000 00000000
[    4339.599281] /dev/input/event0: 0003 0000 0000011a
[    4339.599332] /dev/input/event0: 0000 0000 00000000
[    4339.599365] /dev/input/event0: 0003 0000 00000120
[    4339.599383] /dev/input/event0: 0000 0000 00000000
[    4339.616304] /dev/input/event0: 0003 0000 00000124
[    4339.616346] /dev/input/event0: 0000 0000 00000000
[    4339.616380] /dev/input/event0: 0003 0000 0000012a
[    4339.616398] /dev/input/event0: 0000 0000 00000000
[    4339.633252] /dev/input/event0: 0003 0000 00000131
[    4339.633275] /dev/input/event0: 0003 0001 0000008a
